編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQOMLMKNHPFFDJ09CC,5,20.27,見其他登記事項,鋼筋混凝土造,104年8月21日,四層,
RPTOMLTKNHPFFBJ27CC,27,280.30,住家用,鋼筋混凝土造,82年1月7日,三層,
RPVNMLLKNHPFFBJ56CC,17,108.82,住家用,鋼筋混凝土造,92年3月21日,十層,
RPVNMLLKNHPFFBJ56CC,17,16.05,共用部分,鋼筋混凝土造,92年3月21日,十層,
RPVNMLLKNHPFFBJ56CC,17,25.98,共用部分,鋼筋混凝土造,92年3月21日,十層,
RPXOMLOKNHPFFDJ37CC,5,20.27,見其他登記事項,鋼筋混凝土造,104年8月21日,四層,
RPWNMLNKNHPFFBJ86CC,,301.19,工業用,鋼造,,一層,
RPROMLMKNHPFFDJ56CC,5,20.27,見其他登記事項,鋼筋混凝土造,104年8月21日,四層,
RPWOMLOKNHPFFDJ27CC,5,20.19,見其他登記事項,鋼筋混凝土造,104年8月21日,四層,
RPPOMLTKNHPFFBJ86CC,12,229.13,商業用,鋼筋混凝土造,97年2月1日,十九層,
RPPOMLTKNHPFFBJ86CC,12,19.40,共用部分,鋼筋混凝土造,97年2月1日,十九層,
RPPOMLTKNHPFFBJ86CC,12,33.09,共用部分,鋼筋混凝土造,97年2月1日,十九層,
RPTPMLPKNHPFFBJ96CC,9,63.55,住家用,鋼筋混凝土造,100年3月29日,九層,
RPTPMLPKNHPFFBJ96CC,9,28.67,見其他登記事項,鋼筋混凝土造,100年3月29日,九層,
